date,price
3/1/1994,14.66
4/1/1994,16.38
5/1/1994,17.88
6/1/1994,19.07
7/1/1994,19.65
8/1/1994,18.38
9/1/1994,17.46
10/1/1994,17.71
11/1/1994,18.1
12/1/1994,17.16
1/1/1995,17.99
2/1/1995,18.53
3/1/1995,18.55
4/1/1995,19.87
5/1/1995,19.74
6/1/1995,18.42
7/1/1995,17.3
8/1/1995,18.03
9/1/1995,18.23
10/1/1995,17.44
11/1/1995,17.99
12/1/1995,19.04
1/1/1996,18.88
2/1/1996,19.07
3/1/1996,21.36
4/1/1996,23.57
5/1/1996,21.25
6/1/1996,20.45
7/1/1996,21.32
8/1/1996,21.96
9/1/1996,23.99
10/1/1996,24.9
11/1/1996,23.71
12/1/1996,25.39
1/1/1997,25.17
2/1/1997,22.21
3/1/1997,20.99
4/1/1997,19.72
5/1/1997,20.83
6/1/1997,19.17
7/1/1997,19.63
8/1/1997,19.93
9/1/1997,19.79
10/1/1997,21.26
11/1/1997,20.17
12/1/1997,18.32
1/1/1998,16.71
2/1/1998,16.06
3/1/1998,15.02
4/1/1998,15.44
5/1/1998,14.86
6/1/1998,13.66
7/1/1998,14.08
8/1/1998,13.36
9/1/1998,14.95
10/1/1998,14.39
11/1/1998,12.85
12/1/1998,11.28
1/1/1999,12.47
2/1/1999,12.01
3/1/1999,14.66
4/1/1999,17.34
5/1/1999,17.75
6/1/1999,17.89
7/1/1999,20.07
8/1/1999,21.26
9/1/1999,23.88
10/1/1999,22.64
11/1/1999,24.97
12/1/1999,26.08
1/1/2000,27.18
2/1/2000,29.35
3/1/2000,29.89
4/1/2000,25.74
5/1/2000,28.78
6/1/2000,31.83
7/1/2000,29.77
8/1/2000,31.22
9/1/2000,33.88
10/1/2000,33.08
11/1/2000,34.4
12/1/2000,28.46
1/1/2001,29.58
2/1/2001,29.61
3/1/2001,27.24
4/1/2001,27.41
5/1/2001,28.64
6/1/2001,27.6
7/1/2001,26.45
8/1/2001,27.47
9/1/2001,25.88
10/1/2001,22.21
11/1/2001,19.67
12/1/2001,19.33
1/1/2002,19.67
2/1/2002,20.74
3/1/2002,24.42
4/1/2002,26.27
5/1/2002,27.02
6/1/2002,25.52
7/1/2002,26.94
8/1/2002,28.38
9/1/2002,29.67
10/1/2002,28.85
11/1/2002,26.27
12/1/2002,29.42
1/1/2003,32.94
2/1/2003,35.87
3/1/2003,33.55
4/1/2003,28.25
5/1/2003,28.14
6/1/2003,30.72
7/1/2003,30.76
8/1/2003,31.59
9/1/2003,28.29
10/1/2003,30.33
11/1/2003,31.09
12/1/2003,32.15
1/1/2004,34.27
2/1/2004,34.74
3/1/2004,36.76
4/1/2004,36.69
5/1/2004,40.28
6/1/2004,38.02
7/1/2004,40.69
8/1/2004,44.94
9/1/2004,45.95
10/1/2004,53.13
11/1/2004,48.46
12/1/2004,43.33
1/1/2005,46.84
2/1/2005,47.97
3/1/2005,54.31
4/1/2005,53.04
5/1/2005,49.83
